"","V1","V2","V3","V4"
"1",1,2,1,1
"2",2,3,1,1
"3",1,2,1,3
"4",2,3,2,2
"5",1,3,1,2
"6",2,3,1,3
"7",3,2,3,2
"8",1,1,1,1
"9",2,1,3,3
"10",1,3,3,1
"11",1,3,3,2
"12",3,2,2,3
"13",3,3,2,2
"14",3,3,2,1
"15",1,1,3,2
"16",3,1,1,2
"17",3,3,1,3
"18",2,2,2,3
"19",2,3,3,1
"20",3,2,3,1
"21",2,2,2,1
"22",3,1,1,2
"23",1,3,2,3
"24",2,1,1,3
"25",2,2,3,2
"26",1,2,2,2
"27",1,1,2,1
"28",3,2,1,1
"29",2,1,3,1
"30",1,1,2,3
"31",2,1,2,2
"32",3,3,3,3
"33",2,2,1,2
"34",3,1,2,1
"35",1,2,3,3
"36",3,1,3,3
